"Start","Stop","Length","Frame"
77125,77436,312,1
85651,85968,318,1
178105,178437,333,1
239515,240291,777,1
269410,269745,336,1
311059,311448,390,1
324382,324687,306,1
329398,329772,375,1
396085,396531,447,1
402310,402627,318,1
436321,436656,336,1
484873,485199,327,1
510673,511008,336,1
511813,512139,327,1
524059,524364,306,1
529186,529860,675,1
533563,533883,321,1
650908,651228,321,1
703555,704079,525,1
743005,743409,405,1
791467,791832,366,1
793846,794229,384,1
803419,803739,321,1
852007,852984,978,1
890884,891648,765,1
894511,894834,324,1
898132,898431,300,1
928699,929028,330,1
999772,1000146,375,1
1022425,1022784,360,1
1028332,1028724,393,1
1058812,1059144,333,1
1069336,1069665,330,1
1071787,1072086,300,1
1104415,1104843,429,1
1124395,1124940,546,1
1134472,1134783,312,1
1184530,1184868,339,1
1196095,1196460,366,1
1197622,1197951,330,1
1234198,1234581,384,1
1276771,1277172,402,1
1302472,1302774,303,1
1308367,1308783,417,1
1328515,1328877,363,1
1331200,1331544,345,1
1334665,1335093,429,1
1398931,1399233,303,1
1427461,1427778,318,1
1430140,1430997,858,1
1444306,1444629,324,1
1514383,1514748,366,1
1515274,1515618,345,1
1524493,1524981,489,1
1527334,1527717,384,1
1565362,1565811,450,1
1588510,1588905,396,1
1590709,1591017,309,1
1606603,1606935,333,1
1698709,1700427,1719,1
1712164,1712475,312,1
1726240,1726965,726,1
1740886,1741188,303,1
1785421,1785726,306,1
1798237,1798605,369,1
1799080,1799745,666,1
1805710,1806219,510,1
1877848,1878153,306,1
1978537,1978980,444,1
1979197,1979550,354,1
2013103,2013441,339,1
2034742,2035062,321,1
2039191,2039517,327,1
2116000,2116530,531,1
2140345,2140890,546,1
2148163,2148549,387,1
2178289,2178678,390,1
2214517,2214909,393,1
2248270,2248737,468,1
2299342,2299692,351,1
2303431,2303856,426,1
2323066,2323374,309,1
2395843,2396160,318,1
2537380,2537736,357,1
2569078,2569380,303,1
2592025,2592579,555,1
2614861,2615160,300,1
2643679,2644191,513,1
2713426,2713758,333,1
2749741,2750049,309,1
2756125,2756502,378,1
2956687,2956989,303,1
2982691,2983014,324,1
2995903,2996274,372,1
2998774,2999232,459,1
3087625,3087975,351,1
3088030,3088371,342,1
3113698,3114141,444,1
3125041,3125340,300,1
3155701,3156081,381,1
3168334,3168678,345,1
3196645,3197079,435,1
3318187,3318501,315,1
3326455,3326814,360,1
3331978,3332325,348,1
3359623,3360024,402,1
3360667,3361155,489,1
3383386,3383757,372,1
3421315,3421635,321,1
3450712,3451125,414,1
3453343,3453708,366,1
3453796,3454362,567,1
3503080,3503379,300,1
3522829,3523164,336,1
3592321,3592686,366,1
3642619,3643014,396,1
3648205,3648543,339,1
3683995,3684375,381,1
3733132,3733440,309,1
3763048,3763716,669,1
3831385,3832419,1035,1
3872611,3872937,327,1
3907324,3907650,327,1
3908239,3908634,396,1
3908782,3909750,969,1
3955135,3955818,684,1
4038232,4038942,711,1
4046284,4046619,336,1
4068202,4069605,1404,1
4085065,4085517,453,1
4119043,4119366,324,1
4156588,4157106,519,1
4195042,4195356,315,1
4217260,4217637,378,1
4221313,4221822,510,1
4255390,4255836,447,1
4273948,4274304,357,1
4301119,4301439,321,1
4316944,4317255,312,1
4344268,4344570,303,1
4354498,4355523,1026,1
4357051,4357401,351,1
4367017,4367346,330,1
4372003,4372308,306,1
4378786,4379145,360,1
4422040,4422504,465,1
4426471,4426776,306,1
4446907,4447407,501,1
4531654,4531959,306,1
