"Start","Stop","Length","Frame"
124210,124587,378,1
166378,167436,1059,1
175969,176361,393,1
210277,210594,318,1
211177,211830,654,1
213163,213591,429,1
214537,214935,399,1
216859,217299,441,1
220894,221226,333,1
249841,250149,309,1
291808,292221,414,1
336661,336972,312,1
365947,366624,678,1
389182,389700,519,1
395776,396096,321,1
429460,429948,489,1
432814,433134,321,1
451402,451848,447,1
473743,474054,312,1
543313,543615,303,1
553339,553713,375,1
577237,577596,360,1
626230,626634,405,1
686428,686742,315,1
690361,690846,486,1
741082,741900,819,1
742102,742617,516,1
808375,809028,654,1
817396,817794,399,1
961984,962286,303,1
971032,971430,399,1
1019839,1020198,360,1
1046752,1047072,321,1
1076956,1077801,846,1
1082833,1083180,348,1
1095457,1095777,321,1
1122430,1122840,411,1
1126792,1127397,606,1
1158499,1158990,492,1
1198771,1199085,315,1
1265080,1265418,339,1
1298938,1299300,363,1
1318192,1318500,309,1
1322491,1322799,309,1
1408063,1408665,603,1
1468837,1469370,534,1
1538380,1538721,342,1
1635649,1635966,318,1
1711045,1711422,378,1
1811398,1811748,351,1
1828825,1829151,327,1
1888522,1888851,330,1
1907113,1907517,405,1
2147461,2147832,372,1
2148211,2148594,384,1
2203414,2204088,675,1
2400595,2400897,303,1
2494975,2495292,318,1
2628883,2629314,432,1
2665369,2665686,318,1
2758504,2758803,300,1
2833612,2833932,321,1
2905201,2905527,327,1
2913748,2914167,420,1
2950345,2950668,324,1
2987650,2988021,372,1
3018160,3018738,579,1
3108541,3108846,306,1
3158518,3158883,366,1
3169510,3169842,333,1
3199444,3199749,306,1
3251146,3251451,306,1
3307867,3308298,432,1
3341752,3342054,303,1
3355336,3355881,546,1
3398494,3398811,318,1
3411457,3411879,423,1
3423706,3424080,375,1
3498826,3499140,315,1
3617335,3617781,447,1
3618448,3618825,378,1
3640357,3640692,336,1
3758830,3759186,357,1
3792559,3792876,318,1
3796525,3796995,471,1
3797272,3798084,813,1
3798100,3800850,2751,1
3850621,3850953,333,1
3851665,3852069,405,1
3908374,3908733,360,1
3929200,3929523,324,1
3962059,3962484,426,1
4028695,4028994,300,1
4041511,4041822,312,1
4042021,4042362,342,1
4065403,4065795,393,1
4081870,4082259,390,1
4127734,4128423,690,1
4139848,4140189,342,1
4142632,4142949,318,1
4160236,4160574,339,1
4160629,4160985,357,1
4189459,4190166,708,1
4193167,4193475,309,1
4220341,4220739,399,1
4220749,4221378,630,1
4235422,4235730,309,1
4345528,4345875,348,1
4389769,4390095,327,1
4435966,4436805,840,1
4485175,4485501,327,1
4486930,4487241,312,1
4641598,4641903,306,1
4643197,4643544,348,1
4676017,4676346,330,1
4753048,4753350,303,1
4760251,4760553,303,1
4788985,4789302,318,1
4806583,4806897,315,1
4895518,4895973,456,1
4930105,4930410,306,1
4970437,4970763,327,1
5005459,5005809,351,1
5010766,5011152,387,1
5022865,5023275,411,1
5087254,5087733,480,1
5102287,5102637,351,1
5132776,5133207,432,1
5154826,5155155,330,1
5214721,5215125,405,1
5241832,5242134,303,1
5247205,5247555,351,1
5258533,5258967,435,1
5269729,5270061,333,1
5286682,5287053,372,1
5289025,5289480,456,1
