"Start","Stop","Length","Frame"
10663,11652,990,1
46081,46986,906,1
56518,57003,486,1
57184,57630,447,1
67951,68271,321,1
93328,93720,393,1
97561,97875,315,1
161686,161985,300,1
180361,180726,366,1
196120,196590,471,1
203395,203931,537,1
206824,207768,945,1
209812,210282,471,1
226894,227229,336,1
235360,236349,990,1
287257,288162,906,1
314389,314739,351,1
319162,319515,354,1
348532,348969,438,1
356347,356688,342,1
386575,387093,519,1
389434,389961,528,1
390391,390696,306,1
391264,391701,438,1
392134,392637,504,1
393121,393813,693,1
395779,396276,498,1
397585,397899,315,1
400126,400602,477,1
410149,410682,534,1
434263,434616,354,1
450511,450855,345,1
458314,458658,345,1
461020,461550,531,1
464788,465207,420,1
487231,487677,447,1
495070,495879,810,1
495994,496392,399,1
502858,503232,375,1
510598,510957,360,1
546349,546651,303,1
546871,547446,576,1
547645,547947,303,1
553486,553815,330,1
558034,558525,492,1
560068,560385,318,1
562513,563145,633,1
594427,594744,318,1
597913,598305,393,1
600571,601215,645,1
604543,605787,1245,1
610054,610395,342,1
624658,624969,312,1
634741,635106,366,1
636871,637470,600,1
640681,641064,384,1
641740,642048,309,1
644317,644670,354,1
648550,648951,402,1
665557,665937,381,1
666502,666816,315,1
669289,669693,405,1
670750,671052,303,1
672445,672852,408,1
676318,677037,720,1
677305,677607,303,1
679471,679911,441,1
683983,684441,459,1
690115,690438,324,1
692035,692337,303,1
697237,697653,417,1
728254,728940,687,1
732019,733242,1224,1
735856,736254,399,1
744556,744900,345,1
758320,758967,648,1
765709,766158,450,1
773731,774144,414,1
778504,778986,483,1
788830,789129,300,1
789679,790131,453,1
800458,801474,1017,1
801538,802665,1128,1
812317,812619,303,1
831460,831792,333,1
835009,835473,465,1
843361,843723,363,1
849082,849561,480,1
852592,852924,333,1
866800,867279,480,1
874075,874401,327,1
885760,886059,300,1
889033,889428,396,1
892582,892890,309,1
904231,904563,333,1
906385,906711,327,1
918757,919164,408,1
921832,922152,321,1
928339,928665,327,1
933883,934257,375,1
936121,936492,372,1
945679,946092,414,1
951811,952290,480,1
957520,957837,318,1
977428,977787,360,1
982708,983025,318,1
1009087,1009446,360,1
1009642,1010001,360,1
1016017,1016331,315,1
1022260,1022583,324,1
1058836,1059246,411,1
1066117,1066446,330,1
1070875,1071261,387,1
1112332,1112718,387,1
1132666,1133238,573,1
1162357,1162665,309,1
1162861,1164057,1197,1
1175131,1176303,1173,1
1215901,1216257,357,1
1228297,1228704,408,1
1235653,1235964,312,1
1241872,1242186,315,1
1255378,1255677,300,1
1269130,1269432,303,1
1270981,1271400,420,1
1280245,1280550,306,1
1285171,1285542,372,1
1289431,1289766,336,1
1292452,1292784,333,1
1297735,1298037,303,1
1337755,1338069,315,1
1342456,1342821,366,1
1359412,1359717,306,1
1365364,1366875,1512,1
1374931,1375347,417,1
1392178,1392519,342,1
1415125,1415619,495,1
1419478,1419888,411,1
1420555,1420902,348,1
1448431,1448832,402,1
1448896,1449363,468,1
1457275,1457628,354,1
1458727,1459035,309,1
1465384,1465809,426,1
1479841,1480182,342,1
1480987,1481583,597,1
1484269,1484892,624,1
1494463,1494780,318,1
1518532,1518858,327,1
1525810,1526289,480,1
1529359,1530087,729,1
1530475,1531305,831,1
1534720,1535208,489,1
1537027,1537401,375,1
1539460,1540392,933,1
1540480,1541328,849,1
1541572,1541976,405,1
1543198,1543665,468,1
1544875,1545381,507,1
1547626,1548048,423,1
1558945,1560081,1137,1
1566001,1566351,351,1
1572040,1572588,549,1
1582741,1583040,300,1
1584685,1585017,333,1
1588642,1588971,330,1
1592011,1592310,300,1
1592407,1592784,378,1
1599022,1599339,318,1
1599673,1600203,531,1
1600204,1601127,924,1
1601188,1601736,549,1
1601815,1602252,438,1
1612267,1612593,327,1
1651666,1651977,312,1
1654054,1654605,552,1
1658737,1659129,393,1
1666255,1666620,366,1
1677601,1677924,324,1
1679647,1680093,447,1
1683679,1684068,390,1
1689676,1690092,417,1
1713733,1714221,489,1
1714711,1715463,753,1
1720165,1720545,381,1
1723840,1724214,375,1
1729285,1730256,972,1
1741213,1741632,420,1
1745614,1746135,522,1
1747675,1748379,705,1
1754191,1754583,393,1
1758781,1759377,597,1
1766230,1766565,336,1
1789057,1789398,342,1
1796794,1797246,453,1
1800820,1801200,381,1
1809610,1809945,336,1
1822858,1823196,339,1
1825231,1825614,384,1
1826893,1827642,750,1
1830919,1831332,414,1
1831705,1832136,432,1
1834924,1835430,507,1
1838473,1838940,468,1
1863976,1864305,330,1
1891213,1891581,369,1
1892833,1893297,465,1
1895608,1896309,702,1
1911640,1912134,495,1
1923793,1924398,606,1
1927306,1927620,315,1
1935154,1935537,384,1
1956247,1956945,699,1
1960093,1960479,387,1
1961818,1962150,333,1
1971493,1971960,468,1
1973788,1974153,366,1
1977601,1977921,321,1
1994635,1995063,429,1
2007979,2008983,1005,1
2009125,2009427,303,1
2016775,2017077,303,1
2037010,2037426,417,1
2087023,2087349,327,1
2093308,2093634,327,1
2112898,2113212,315,1
2117098,2117439,342,1
2120446,2120769,324,1
2140690,2141391,702,1
2141938,2142411,474,1
2176252,2176671,420,1
2184430,2185092,663,1
2186830,2187255,426,1
2222212,2222514,303,1
2223550,2223858,309,1
2237197,2237709,513,1
2251072,2251398,327,1
2258020,2258373,354,1
2270179,2270496,318,1
2276617,2277060,444,1
2289451,2289774,324,1
2297578,2297877,300,1
2300356,2300664,309,1
2302438,2302755,318,1
2311390,2311812,423,1
2312605,2313558,954,1
2335972,2336316,345,1
2424934,2425287,354,1
2431096,2431425,330,1
2446408,2446707,300,1
2454619,2454957,339,1
2527687,2527986,300,1
2547157,2547498,342,1
2557240,2557566,327,1
2572078,2572533,456,1
2575240,2575608,369,1
2576803,2577363,561,1
2578609,2578920,312,1
2584009,2584809,801,1
2585053,2585535,483,1
2638681,2639028,348,1
2642818,2643144,327,1
2653195,2653545,351,1
2655586,2655915,330,1
2656114,2656542,429,1
2670109,2670534,426,1
2672299,2672646,348,1
2674411,2674821,411,1
2675671,2675970,300,1
2684989,2685384,396,1
2695621,2696142,522,1
2709487,2709843,357,1
2721427,2721765,339,1
2724865,2725644,780,1
2726095,2726571,477,1
2734033,2734350,318,1
2739229,2740686,1458,1
2751823,2752128,306,1
2754145,2754567,423,1
2784601,2785251,651,1
2790916,2791251,336,1
2792947,2793258,312,1
2796544,2797215,672,1
2800684,2800998,315,1
2816623,2816931,309,1
2818309,2818647,339,1
2832619,2833047,429,1
2838994,2839419,426,1
2847838,2848152,315,1
2851300,2851848,549,1
2855128,2855445,318,1
2856508,2856861,354,1
2860306,2860638,333,1
2874433,2874798,366,1
2881876,2882271,396,1
2890816,2891193,378,1
2893552,2893881,330,1
2906785,2907207,423,1
2913415,2914077,663,1
2918944,2919264,321,1
2936374,2936760,387,1
2942263,2942586,324,1
2974675,2975139,465,1
2976781,2977257,477,1
2998135,2998458,324,1
3001693,3002136,444,1
3013408,3013728,321,1
3030793,3031314,522,1
3032884,3033306,423,1
3035347,3036336,990,1
3036418,3037113,696,1
3039052,3039378,327,1
3055990,3056298,309,1
3061408,3061854,447,1
3066145,3066537,393,1
3072121,3072504,384,1
3076975,3077442,468,1
3079105,3079443,339,1
3084283,3084687,405,1
3087784,3088194,411,1
3088258,3089388,1131,1
3089542,3089907,366,1
3101467,3101772,306,1
3108010,3108414,405,1
3111847,3112410,564,1
3112483,3113127,645,1
3113893,3114822,930,1
3115237,3115566,330,1
3122887,3123228,342,1
3129388,3129741,354,1
3141406,3141897,492,1
3144379,3144897,519,1
3171112,3171525,414,1
3174328,3174918,591,1
3182911,3183219,309,1
3184327,3184992,666,1
3186475,3187293,819,1
3189901,3190272,372,1
3191083,3192039,957,1
3194911,3195261,351,1
3203485,3203853,369,1
3214216,3214536,321,1
3224350,3224670,321,1
3231115,3231570,456,1
3234094,3234429,336,1
3243178,3243477,300,1
3245833,3246522,690,1
3252925,3253320,396,1
3270244,3270543,300,1
3271135,3271527,393,1
3271924,3272277,354,1
3273037,3273672,636,1
3286882,3287403,522,1
3287848,3288663,816,1
3288793,3289224,432,1
3289411,3289797,387,1
3290932,3291723,792,1
3292630,3292938,309,1
3293512,3293913,402,1
3298921,3300654,1734,1
3301570,3301935,366,1
3304096,3304614,519,1
3308029,3309366,1338,1
3311044,3311499,456,1
3315424,3315759,336,1
3315895,3316194,300,1
3353053,3353466,414,1
3364582,3364899,318,1
3383680,3384246,567,1
3399646,3399951,306,1
3400042,3400383,342,1
3420373,3420900,528,1
3455869,3456225,357,1
3463588,3463953,366,1
3482932,3483273,342,1
3483307,3483993,687,1
3485773,3486630,858,1
3487846,3488379,534,1
3507046,3507414,369,1
3529255,3579324,50070,1
3592033,3592344,312,1
3592351,3592710,360,1
3600019,3600333,315,1
3639838,3640137,300,1
3650716,3651375,660,1
3656335,3656757,423,1
3663373,3664074,702,1
